C88D  A9 55     LDA #$55                        A:FF X:00 Y:00 P:EC SP:FB PPU:  0, 00 CYC:0
C88F  09 AA     ORA #$AA                        A:55 X:00 Y:00 P:6C SP:FB PPU:  0, 00 CYC:0
C891  B0 0B     BCS $C89E                       A:FF X:00 Y:00 P:EC SP:FB PPU:  0, 00 CYC:0
C893  10 09     BPL $C89E                       A:FF X:00 Y:00 P:EC SP:FB PPU:  0, 00 CYC:0
C895  C9 FF     CMP #$FF                        A:FF X:00 Y:00 P:EC SP:FB PPU:  0, 00 CYC:0
C897  D0 05     BNE $C89E                       A:FF X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C899  50 03     BVC $C89E                       A:FF X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C89B  4C A2 C8  JMP $C8A2                       A:FF X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C8A2  EA        NOP                             A:FF X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C8A3  38        SEC                             A:FF X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C8A4  B8        CLV                             A:FF X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C8A5  A9 00     LDA #$00                        A:FF X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8A7  09 00     ORA #$00                        A:00 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8A9  D0 09     BNE $C8B4                       A:00 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8AB  70 07     BVS $C8B4                       A:00 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8AD  90 05     BCC $C8B4                       A:00 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8AF  30 03     BMI $C8B4                       A:00 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8B1  4C B8 C8  JMP $C8B8                       A:00 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8B8  EA        NOP                             A:00 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8B9  18        CLC                             A:00 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8BA  24 01     BIT $01 = 00                    A:00 X:00 Y:00 P:2E SP:FB PPU:  0, 00 CYC:0
C8BC  A9 55     LDA #$55                        A:00 X:00 Y:00 P:EE SP:FB PPU:  0, 00 CYC:0
C8BE  29 AA     AND #$AA                        A:55 X:00 Y:00 P:6C SP:FB PPU:  0, 00 CYC:0
C8C0  D0 09     BNE $C8CB                       A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C8C2  50 07     BVC $C8CB                       A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C8C4  B0 05     BCS $C8CB                       A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C8C6  30 03     BMI $C8CB                       A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C8C8  4C CF C8  JMP $C8CF                       A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C8CF  EA        NOP                             A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C8D0  38        SEC                             A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C8D1  B8        CLV                             A:00 X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C8D2  A9 F8     LDA #$F8                        A:00 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8D4  29 EF     AND #$EF                        A:F8 X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C8D6  90 0B     BCC $C8E3                       A:E8 X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C8D8  10 09     BPL $C8E3                       A:E8 X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C8DA  C9 E8     CMP #$E8                        A:E8 X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C8DC  D0 05     BNE $C8E3                       A:E8 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8DE  70 03     BVS $C8E3                       A:E8 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8E0  4C E7 C8  JMP $C8E7                       A:E8 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8E7  EA        NOP                             A:E8 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8E8  18        CLC                             A:E8 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C8E9  24 01     BIT $01 = 00                    A:E8 X:00 Y:00 P:2E SP:FB PPU:  0, 00 CYC:0
C8EB  A9 5F     LDA #$5F                        A:E8 X:00 Y:00 P:EC SP:FB PPU:  0, 00 CYC:0
C8ED  49 AA     EOR #$AA                        A:5F X:00 Y:00 P:6C SP:FB PPU:  0, 00 CYC:0
C8EF  B0 0B     BCS $C8FC                       A:F5 X:00 Y:00 P:EC SP:FB PPU:  0, 00 CYC:0
C8F1  10 09     BPL $C8FC                       A:F5 X:00 Y:00 P:EC SP:FB PPU:  0, 00 CYC:0
C8F3  C9 F5     CMP #$F5                        A:F5 X:00 Y:00 P:EC SP:FB PPU:  0, 00 CYC:0
C8F5  D0 05     BNE $C8FC                       A:F5 X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C8F7  50 03     BVC $C8FC                       A:F5 X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C8F9  4C 00 C9  JMP $C900                       A:F5 X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C900  EA        NOP                             A:F5 X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C901  38        SEC                             A:F5 X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C902  B8        CLV                             A:F5 X:00 Y:00 P:6F SP:FB PPU:  0, 00 CYC:0
C903  A9 70     LDA #$70                        A:F5 X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
